Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C303, C304",0603,6,2.2uF,
"C301, C302, C401, C402, C404, C406, C501, C503, C601, C602, C603",0603,11,22uF,
"C305, C502, C504",0402,3,100nF,
C403,0402,1,DNP,
C405,0603,1,30pF,
C505,0603,1,1nF,
"D201, D202",D_SOD-123,2,1N5819HW-7-F,
D301,D_SOD-323F,1,"PMEG1030EJ,115",
"D302, D402, D403, D501, D502, D601, D602, D603, D604, D605, D606",0603,11,LED,
D401,D_SMA,1,SS14,
"F201, F202",0805,2,3A,
"FB201, FB202, FB301",0603,3,120R,
IC301,SOT95P270X145-5N,1,MCP73831T-2ACI_OT,
IC302,SON50P150X150X80-6N,1,BQ29737DSER,
IC401,SOT95P280X145-5N,1,TLV62569DBVR,
IC501,SOP65P778X200-28N,1,FT232RL-REEL,
J201,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch_Pin3Ring,
J301,BM02B-GHS-TBT_1,1,BM02B-GHS-TBT_LF__SN__N_,
"J501, J502",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09_Pin,
J503,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J504,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J601, J602",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
L401,L_Changjiang_FXL0630,1,10uH,
L402,L_Changjiang_FXL0630,1,15uH,
Q301,SOT-23,1,DMG3415U-7,
"Q302, Q303",SOT-23,2,T2N7002AK,
"R301, R401",0402,2,100kR,
"R302, R405, R406, R503, R504, R601, R602, R603, R604, R605, R606",0402,11,510R,
"R303, R501, R502",0402,3,5k1R,
R304,0402,1,330R,
R305,0402,1,2k2R,
"R402, R505",0402,2,1MR,
R403,0402,1,22kR,
R404,0402,1,330kR,
"S601, S602, S603",XKB5858Z,3,XKB5858-Z,
U401,TPS61040DBVR,1,TPS61040DBVR,
U501,SOT-23-6,1,USBLC6-2SC6,
