Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C208, C209",0603,4,2.2uF,C23630
"C203, C205, C206, C210, C212, C213",0603,6,10uF,C91606
C204,0603,1,2.4pF,C113797
"C207, C214, C301, C303, C304, C307, C310",0402,7,100nF,C126532
C211,0603,1,4pF,
"C215, C216, C312",0603,3,22uF,C86295
"C302, C305, C306",0603,3,4u7F,C1705
"C308, C309",0603,2,30pF,C113797
C313,0603,1,1nF,C277510
"D201, D203, D205, D206, D304",D_SOD-123,5,1N5819HW-7-F,C82544
"D202, D204, D301, D302, D303",0603,5,LED,C965799
"F201, F202",0805,2,3A,C883112
"FB201, FB202, FB203, FB204",0603,4,120R,C14709
"IC201, IC202",TPS63002DRCR,2,TPS63000DRCR,C116655
IC301,QFN50P400X400X80-25N-D,1,CP2102N-A02-GQFN24R,C969151
J201,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J202, J204, J305",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
"J203, J205",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
"J301, J302",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09_Pin,
J303,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J304,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C165948
"L201, L202",L_Changjiang_FXL0630,2,2u2H,C167218
"R201, R205, R303, R306, R307, R308",0402,6,1kR,C106235
"R202, R206",0402,2,100R,C705627
R203,0402,1,910kR,C2909391
"R204, R208",0402,2,100kR,C852472
R207,0402,1,560kR,C132339
R301,0402,1,22k1R,C844504
R302,0402,1,47k5R,C853963
"R304, R305",0402,2,5k1R,C852856
R309,0402,1,10kR,C2765610
R310,0402,1,1MR,C1883577
U301,SOT-23-6,1,USBLC6-2SC6,C7519
