Designator,Mid X,Mid Y,Rotation,Layer
C201,19.5,-37.0,270.0,top
C202,17.5,-37.0,270.0,top
C203,10.65,-47.63,0.0,top
C205,9.3,-40.25,180.0,top
C206,12.525,-40.25,0.0,top
C207,16.0,-46.48,270.0,top
C208,38.0375,-36.8375,270.0,top
C209,36.0375,-36.8475,270.0,top
C210,41.75,-40.5,180.0,top
C212,43.325,-47.75,0.0,top
C213,40.125,-47.75,180.0,top
C214,37.0,-41.24,90.0,top
C215,3.25,-23.83,0.0,top
C216,49.75,-24.04,0.0,top
C301,29.5,-26.0,270.0,top
C302,29.5,-29.0,270.0,top
C303,35.5,-30.5,180.0,top
C304,27.75,-25.98,270.0,top
C305,27.75,-29.0,270.0,top
C306,31.25,-29.0,270.0,top
C307,31.25,-26.0,270.0,top
C308,33.0,-44.0,90.0,top
C309,20.0,-44.0,90.0,top
C310,24.235,-37.73,270.0,top
C312,23.75,-6.75,180.0,top
C313,33.75,-48.0,0.0,top
D201,15.25,-36.0,90.0,top
D202,20.75,-28.4625,270.0,top
D203,33.75,-36.0,90.0,top
D204,23.0,-28.4625,270.0,top
D205,3.25,-27.33,270.0,top
D206,49.75,-27.5,270.0,top
D301,24.5,-14.25,270.0,top
D302,28.5,-14.25,270.0,top
D303,26.5,-14.25,270.0,top
D304,28.0,-6.75,0.0,top
F201,21.5,-36.75,90.0,top
F202,39.7875,-36.25,90.0,top
FB201,18.5,-34.5,0.0,top
FB202,11.0375,-38.5,0.0,top
FB203,37.0375,-34.41,0.0,top
FB204,41.75,-49.5,0.0,top
IC201,10.9,-44.0,0.0,top
IC202,42.0,-44.0,180.0,top
IC301,26.5,-22.0,90.0,top
J201,51.0,-34.995,0.0,top
J202,10.29,-30.75,90.0,top
J203,3.52,-18.54,0.0,top
J204,42.79,-30.75,90.0,top
J205,49.48,-18.54,0.0,top
J301,36.66,-16.0,0.0,top
J302,16.34,-16.0,0.0,top
J303,26.5,-2.0,90.0,top
J304,26.5,-47.0,0.0,top
J305,26.54,-10.0,90.0,top
L201,4.25,-44.0,90.0,top
L202,48.5,-44.0,270.0,top
R201,19.25,-28.4625,90.0,top
R202,14.5,-46.48,90.0,top
R203,14.5,-42.24,270.0,top
R204,14.5,-44.24,270.0,top
R205,24.5,-28.5,90.0,top
R206,38.5,-41.25,270.0,top
R207,38.5,-45.75,90.0,top
R208,38.5,-43.5,90.0,top
R301,35.49,-31.75,0.0,top
R302,35.48,-29.25,180.0,top
R303,33.75,-24.26,270.0,top
R304,34.5,-43.995,90.0,top
R305,18.5,-44.005,90.0,top
R306,24.5,-17.0,90.0,top
R307,26.5,-17.0,90.0,top
R308,28.5,-17.0,90.0,top
R309,33.75,-22.25,90.0,top
R310,20.25,-47.76,90.0,top
U301,26.5,-37.75,270.0,top
